Feature,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__CAG-353 sp900066885,36.795605988155486,46,118,28.647771786907615,0.7676283736936262,0.7785650220335911
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp004556345,32.941840596884475,46,118,28.55815017008464,0.9817127258793079,0.8669263663665949
country_Ethiopia,35.81333798838059,48,123,28.50005633751588,0.76,0.7957944703943135
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,37.16458502655859,51,108,28.43255856556332,0.5326645132326259,0.765044424557541
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585,38.57289210457438,46,75,28.171565372370598,0.6295226868410295,0.7303462052053317
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-45;s__CAG-45 sp900066395,39.18392188768422,53,99,27.9975852760244,0.6950937670211227,0.7145171776392356
Study_TettAJ2019,35.38683219352274,47,122,27.781073037160102,0.76,0.7850680977950094
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium saudiense,33.545636928672394,47,81,27.730755771195003,0.7201043473516342,0.8266576017071463
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__,30.028370872391015,44,131,27.333036969095406,1.0,0.9102404218081048
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900550165,32.25967603602502,44,125,27.08153188415206,1.0,0.8394855501310545
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp001916965,35.792133407616014,48,97,27.047486812037974,0.2503675773240917,0.7556824429549842
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__CAG-495 sp001917125,34.06400264830646,47,86,27.03594831960949,0.8761952164257959,0.7936809011771732
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis,38.32920234752802,48,83,26.945953874383513,0.6182446363593533,0.7030136873203506
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066565,44.830309044439495,43,98,26.921777636256184,0.6816533086059702,0.6005262557875544
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp003024675,30.799463541000883,44,95,26.63782970392414,0.626281449557561,0.864879664818295
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas butyriciproducens,35.842883405470396,47,100,26.554340401869737,0.8478075462524909,0.7408539123785162
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii,29.68904090427659,42,73,26.48466563031394,0.7661147792581695,0.8920687507456304
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp900291975,35.08547062295702,44,90,26.373316223604448,0.7814482486149115,0.7516876859661658
Study_Olm2022,34.57602448830443,43,119,26.368478936206916,0.7692307692307693,0.7626232143931478
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter sp900543115,29.58024877122058,44,66,26.35791203784529,1.0,0.8910645830500793
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella stercorea,29.290101211629082,40,106,26.144156908990652,0.9882034049595289,0.8925936008241108
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D,41.23812113398587,39,67,26.02583106108365,0.4077814601751967,0.6311109804572254
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus rhamnosus,31.83463107627584,45,74,25.775737493341087,0.6155323932238863,0.8096760233087786
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071 sp900542375,36.39900732675298,45,86,25.692780245464522,0.7473784118838483,0.7058648609513187
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855,29.663427788695213,43,113,25.654696765588014,1.0,0.8648594811205557
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp900544105,27.350865900996002,40,109,25.588044299449535,0.9999999999999999,0.9355478686514904
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-390;s__,28.79914293930069,40,114,25.522285133293835,1.0000000000000002,0.8862168289898968
d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__SFFH01;s__SFFH01 sp900542445,31.52645131365462,42,96,25.47956680771146,0.7507348332293252,0.8081964745799298
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1691;s__UBA1691 sp900544375,33.48006608757411,42,72,25.4148503100669,0.6815605250534471,0.7591039469154287
